id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26138370,Spacious condo by the Lake ***Free Parking***,47945427,1465724319531871936,Ron,,Niagara,43.63566,-79.40508,Entire home/apt,171,28,86,2026-03-15,0.93,1,329,2,STR-2012-HPDVHK
20801708,"2BR downtown condo, lake & city view, free parking",64559882,1466798293408197767,Maryam,,Niagara,43.63637,-79.40793,Entire home/apt,647,3,51,2025-11-16,1.17,1,33,7,STR-2210-GMRKVG
21013560,1 Bedroom (Bachelor) - Downtown Condo Toronto,69778408,1466863716882856777,Norman,,Niagara,43.63865,-79.40123,Entire home/apt,157,28,15,2026-01-17,0.18,3,89,2,
29118686,"Central, Spacious, Modern Condo with Stunning View",74376784,1466915603157499838,Robert,,Niagara,43.636344909667969,-79.40453339,Entire home/apt,213,28,42,2025-09-02,0.46,1,129,1,
14488992,Bright  Room in Artist's Apartment On Queen st  W,89407132,1467083587574139257,Issa,,Niagara,43.64629,-79.40394,Private room,93,1,219,2026-05-09,1.85,1,69,19,STR-2101-FSVKVC
29338866,Stylish Condo | Walk to BMO Field + Free Parking,94635545,1467141419720397245,Victoria Lynn,,Niagara,43.6369659,-79.4046643,Entire home/apt,440,1,213,2026-05-03,2.34,1,161,25,STR-2012-GPRVHG
22065081,Modern 1 Bedroom Downtown Condo w free parking,95622196,1467152117762769466,Aaron,,Niagara,43.6368674,-79.4060214,Entire home/apt,273,1,259,2026-05-17,2.52,1,61,30,STR-2012-GHQKVF
25212559,Elegant 2 BD Waterfront Condo Downtown Toronto.,115442293,1468186138092907832,Tareen,,Niagara,43.6386,-79.4006,Entire home/apt,492,28,5,2022-08-01,0.06,6,141,0,STR-2108-HCPPHJ
18873955,Beautiful King West Loft with a Lovely Terrace,125543626,1468265280294316869,Shane,,Niagara,43.63976,-79.41492,Entire home/apt,185,28,25,2025-11-13,0.23,2,364,2,
21976318,Authentic century old downtown loft,160453045,1468560615466333599,James,,Niagara,43.641571044921875,-79.41274261,Entire home/apt,742,2,49,2025-12-15,0.48,1,145,22,STR-2501-FQWSBQ
22000473,Luxury 1 bedroom Condo in Fort york,160648859,1468562391287311941,Termeh,,Niagara,43.63564,-79.40407,Entire home/apt,244,28,0,,,1,270,0,
